context,stratum,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs,auprc_C_S,auprc_C_S_T,n_test_mean,positive_prevalence_mean
1hop,high,0.0007954000409259153,0.0016396989080296395,-0.00030969936382092443,0.0017680538312686816,15,5,0,0.08906650258872711,0.08986190262965302,10761.4,0.07050467781656283
1hop,low,-0.0005199996176330398,0.0016720357371952117,-0.0018361524881882188,0.0008687812308616116,15,5,0,0.07038778366198033,0.06986778404434729,5533.4,0.05980380573375331
1hop,medium,0.0015586501347013679,0.0012558257833508266,0.0006402345548786675,0.0024358141658749697,15,5,0,0.06933063790924615,0.07088928804394752,7590.4,0.061853898373360854
strict,high,0.00035082364849100265,0.0017394383635035244,-0.0009187382093997059,0.0017473313195646048,15,5,0,0.08906650258872711,0.08941732623721811,10761.4,0.07050467781656283
strict,low,-0.0003931927076928928,0.0022266934219868553,-0.0023627256241190073,0.001140388372319421,15,5,0,0.07038778366198033,0.06999459095428744,5533.4,0.05980380573375331
strict,medium,0.0003615973557082893,0.0011413415198168056,-0.0005725009461785028,0.0010357566250563733,15,5,0,0.06933063790924615,0.06969223526495445,7590.4,0.061853898373360854
