context,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,Delta_T_given_C_S,0.0007251954623335832,0.0008075349922904171,0.00021687334715026185,0.0013013542509576694,15,5,0
1hop,Delta_S_given_C_T,0.0016435300806176732,0.0023123664318832203,-5.161428119606011e-05,0.0032699877050291863,15,5,0
strict,Delta_T_given_C_S,0.00026058030913970375,0.0008881190361145821,-0.00036970010003800033,0.0009518748374383246,15,5,0
strict,Delta_S_given_C_T,0.0014358241710145361,0.00208745051469879,-0.00019160905769136072,0.00316187899711144,15,5,0
