context,stratum,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs,auprc_C_S,auprc_C_S_T,n_test_mean,positive_prevalence_mean
1hop,high,0.0017345650174948267,0.0035144312780956174,-0.0010579394705209065,0.004303001315695904,15,5,0,0.5609214828789866,0.5626560478964815,4875.8,0.51943308641841
1hop,low,-0.0004102832763851446,0.0031704694408395224,-0.0026924329296807215,0.0016352570258265457,15,5,0,0.5013719998872711,0.500961716610886,2159.8,0.4786102143259117
1hop,medium,0.003290595557726694,0.0023879916176840483,0.0015760102196392689,0.004978033212313083,15,5,0,0.5063409788586141,0.509631574416341,3095.2,0.48774280256376096
strict,high,0.0015724001375608217,0.0033587100743090693,-0.0010756002667957683,0.00424369245360009,15,5,0,0.5609214828789866,0.5624938830165473,4875.8,0.51943308641841
strict,low,-0.00027557819725591013,0.0034007734930472343,-0.0028109727937861077,0.0023244400152367633,15,5,0,0.5013719998872711,0.5010964216900152,2159.8,0.4786102143259117
strict,medium,0.0014360786668488241,0.003998045480523545,-0.001000730499762173,0.0045004824198684,15,5,0,0.5063409788586141,0.5077770575254629,3095.2,0.48774280256376096
