context,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,Delta_T_given_C_S,0.0020018619066696735,0.001618864327155744,0.0008437504420377852,0.003277595286482053,15,5,0
1hop,Delta_S_given_C_T,-0.00203704901841543,0.003753659879099818,-0.004922313712300224,0.0009793630967487414,15,5,0
strict,Delta_T_given_C_S,0.0014821602246304429,0.002100395787904419,9.845692118466037e-05,0.0029247419023117637,15,5,0
strict,Delta_S_given_C_T,-0.001812920394361961,0.005046258833725515,-0.005805680400029883,0.00211322601215795,15,5,0
