context,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,Delta_T_given_C_S,0.0022451334822624802,0.002503327785836875,0.0009582977955998275,0.0034819643689565525,15,5,0
1hop,Delta_S_given_C_T,0.006041622680979232,0.011247844272139563,-0.0010283362724355107,0.013751052706349923,15,5,0
strict,Delta_T_given_C_S,0.0014734558678182006,0.002614756286187771,9.616917672653142e-05,0.003549129117564462,15,5,0
strict,Delta_S_given_C_T,0.002459899833983668,0.009551554829005838,-0.005298148222053169,0.010047502846036055,15,5,0
