context,stratum,metric,n_test_mean,positive_prevalence_mean,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,high,auprc,228390.6,0.04038891054943937,Delta_T_given_C_S,0.004260696005274753,0.004036305582398744,0.0022563894080246433,0.006560000611202694,15,5,0
1hop,high,auprc,228390.6,0.04038891054943937,coordinate_plus_frozen_sequence_fm,0.06662483236843289,0.0057647736676711015,0.06179881874734212,0.07145084598952364,15,5,0
1hop,high,auprc,228390.6,0.04038891054943937,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.07088552837370767,0.007982511940667385,0.06474464697134924,0.07695781198848461,15,5,0
1hop,high,auroc,228390.6,0.04038891054943937,Delta_T_given_C_S,0.00958465990488937,0.015918078952062577,-0.0014442743832045956,0.017762632425178983,15,5,0
1hop,high,auroc,228390.6,0.04038891054943937,coordinate_plus_frozen_sequence_fm,0.5513356011056573,0.03708024333824619,0.5211908418040079,0.5830941522803242,15,5,0
1hop,high,auroc,228390.6,0.04038891054943937,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5609202610105466,0.03223025797230687,0.5359027449771148,0.5867650574955358,15,5,0
1hop,high,normalized_ap,228390.6,0.04038891054943937,Delta_T_given_C_S,0.00443847020516106,0.004201105329187542,0.0023505231486919812,0.006834421265795366,15,5,0
1hop,high,normalized_ap,228390.6,0.04038891054943937,coordinate_plus_frozen_sequence_fm,0.02732573110617916,0.007661715217251255,0.020946705644494332,0.033509386142622076,15,5,0
1hop,high,normalized_ap,228390.6,0.04038891054943937,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.031764201311340216,0.009745276107534158,0.024037827816850037,0.03930408467865367,15,5,0
1hop,low,auprc,104046.2,0.0260572034258273,Delta_T_given_C_S,-0.0018573671403614325,0.003333242622037532,-0.00488057069776955,0.00029210110854952957,15,5,0
1hop,low,auprc,104046.2,0.0260572034258273,coordinate_plus_frozen_sequence_fm,0.043303338655874005,0.018433493717305526,0.03053433988707488,0.06132626658442413,15,5,0
1hop,low,auprc,104046.2,0.0260572034258273,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.04144597151551257,0.015408004483343694,0.030639135260427174,0.056185621623251934,15,5,0
1hop,low,auroc,104046.2,0.0260572034258273,Delta_T_given_C_S,-0.0005900226478032123,0.008001491805108276,-0.005090472777431938,0.004448955587876924,15,5,0
1hop,low,auroc,104046.2,0.0260572034258273,coordinate_plus_frozen_sequence_fm,0.5202206734846848,0.028395468874551345,0.4926474261622321,0.5362836279254215,15,5,0
1hop,low,auroc,104046.2,0.0260572034258273,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5196306508368815,0.029994096493278544,0.4912918681693867,0.5386764055101291,15,5,0
