context,stratum,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs,auprc_C_S,auprc_C_S_T,n_test_mean,positive_prevalence_mean
1hop,high,0.004260696005274753,0.004036305582398744,0.0022563894080246433,0.006560000611202694,15,5,0,0.06662483236843289,0.07088552837370767,228390.6,0.04038891054943937
1hop,low,-0.0018573671403614325,0.003333242622037532,-0.00488057069776955,0.00029210110854952957,15,5,0,0.043303338655874005,0.04144597151551257,104046.2,0.0260572034258273
1hop,medium,0.0008417296214836546,0.003918370045859116,-0.000864322033136398,0.003920333494359143,15,5,0,0.06829068517524152,0.06913241479672516,145751.2,0.03218417598829714
1hop,unassigned,0.0,0.0,,,3,1,0,0.04,0.04,75.0,0.04
strict,high,0.002358111663925707,0.004817355674329329,-0.00022597584906775816,0.006485092144609382,15,5,0,0.06662483236843289,0.06898294403235859,228390.6,0.04038891054943937
strict,low,-0.0012719990709713735,0.0021440781527831514,-0.003082384580454311,0.000377930399568507,15,5,0,0.043303338655874005,0.042031339584902634,104046.2,0.0260572034258273
strict,medium,0.0011972080507431028,0.003812503498358606,-0.00124716714744485,0.004157046511513689,15,5,0,0.06829068517524152,0.0694878932259846,145751.2,0.03218417598829714
strict,unassigned,0.0,0.0,,,3,1,0,0.04,0.04,75.0,0.04
