context,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,Delta_T_given_C_S,0.0014297087241451475,0.0026124483417638562,-0.0007417848391084155,0.0031836316439904375,15,5,0
1hop,Delta_S_given_C_T,0.10965067008576164,0.008328438651030723,0.10391182716891548,0.11617849105297261,15,5,0
strict,Delta_T_given_C_S,0.0011070579792378022,0.0022208981472528716,-0.0003755018731384955,0.002996289721915265,15,5,0
strict,Delta_S_given_C_T,0.11465444986473132,0.00980938848767481,0.10695475479457649,0.12179603740289326,15,5,0
