context,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,Delta_T_given_C_S,0.0008045880459206067,0.002704566691020844,-0.001530673396563922,0.002467277241760552,15,5,0
1hop,Delta_S_given_C_T,0.11672234269614185,0.008209275515140982,0.1100022491771254,0.12275271481393903,15,5,0
strict,Delta_T_given_C_S,0.0008894356560973149,0.0017988785105413348,-0.0003892907337088162,0.0023263077290984206,15,5,0
strict,Delta_S_given_C_T,0.11788076481716016,0.009124726432235586,0.11216531893661838,0.12588423411981542,15,5,0
