fold,seed,closure,feature_set,auprc,auroc,normalized_ap,balanced_accuracy,f1,precision,recall,n_tissues
fold_a,42,1hop,coordinate,0.46190967845315917,0.5061524141250642,0.01570329471615532,0.4999084764269278,0.6228018690353212,0.45327831753914055,0.995136266433413,5
fold_a,42,1hop,coordinate_plus_frozen_pangenomefm,0.48831953009052576,0.5405113018258675,0.06378584731640606,0.5017013840993056,0.6226390239723208,0.4542109172415857,0.9896316551653666,5
fold_a,42,1hop,coordinate_plus_frozen_sequence_fm,0.5845460663448826,0.6536456768661265,0.23953140001107184,0.5700410365963469,0.6413330415961521,0.4971068177400923,0.9062570108840349,5
fold_a,42,1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5871005426262772,0.6538684970317956,0.24421339317537,0.5713159406375949,0.6407625805192259,0.4979889044650159,0.9009603368974137,5
fold_a,42,1hop,frozen_pangenomefm,0.48631857938108347,0.5404922820556863,0.0602241832270339,0.5027119545046406,0.6230978237278972,0.45474472520279435,0.9894082329523874,5
fold_a,42,1hop,frozen_sequence_fm,0.5823142055515724,0.6512990642625404,0.23542431416292314,0.5711222299697625,0.6405634715946908,0.49789940619687945,0.90006769517761,5
fold_a,42,1hop,sequence_kmer,0.5564714835196185,0.6293284735797806,0.18810803705742057,0.5435160643238192,0.6323729430029682,0.4779561176294931,0.9351358603834674,5
fold_a,42,strict,coordinate,0.46190967845315917,0.5061524141250642,0.01570329471615532,0.4999084764269278,0.6228018690353212,0.45327831753914055,0.995136266433413,5
fold_a,42,strict,coordinate_plus_frozen_pangenomefm,0.4683241360293569,0.5189280818494316,0.0271407958525074,0.5003842006863379,0.623789955320139,0.45351339263551765,0.9993382401097908,5
fold_a,42,strict,coordinate_plus_frozen_sequence_fm,0.5845460663448826,0.6536456768661265,0.23953140001107184,0.5700410365963469,0.6413330415961521,0.4971068177400923,0.9062570108840349,5
fold_a,42,strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.583927426053996,0.6520011510178526,0.23841209709608036,0.5750067688498863,0.6413751836332147,0.5009637465796051,0.8938667156756857,5
fold_a,42,strict,frozen_pangenomefm,0.4651190365282334,0.5164261929669689,0.02132560386029058,0.5009017576863903,0.6237824307139049,0.4537712244109282,0.9979225588254005,5
fold_a,42,strict,frozen_sequence_fm,0.5823142055515724,0.6512990642625404,0.23542431416292314,0.5711222299697625,0.6405634715946908,0.49789940619687945,0.90006769517761,5
fold_a,42,strict,sequence_kmer,0.5564714835196185,0.6293284735797806,0.18810803705742057,0.5435160643238192,0.6323729430029682,0.4779561176294931,0.9351358603834674,5
fold_a,314159,1hop,coordinate,0.46190967845315917,0.5061524141250642,0.01570329471615532,0.4999084764269278,0.6228018690353212,0.45327831753914055,0.995136266433413,5
fold_a,314159,1hop,coordinate_plus_frozen_pangenomefm,0.4719027479442824,0.5258578334427554,0.03372104526172676,0.5004676622655209,0.6230607588250907,0.4535557470962517,0.9952884205735588,5
fold_a,314159,1hop,coordinate_plus_frozen_sequence_fm,0.5845460663448826,0.6536456768661265,0.23953140001107184,0.5700410365963469,0.6413330415961521,0.4971068177400923,0.9062570108840349,5
fold_a,314159,1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5851323329307394,0.651914195080874,0.24059055001556046,0.5740583498587484,0.6413456885462949,0.4992867557528065,0.8976027703897259,5
fold_a,314159,1hop,frozen_pangenomefm,0.47321388393805225,0.5261434813070809,0.03616761248199852,0.5010709039388954,0.6231971086906836,0.4538603660021471,0.9945683054460875,5
fold_a,314159,1hop,frozen_sequence_fm,0.5823142055515724,0.6512990642625404,0.23542431416292314,0.5711222299697625,0.6405634715946908,0.49789940619687945,0.90006769517761,5
fold_a,314159,1hop,sequence_kmer,0.5564714835196185,0.6293284735797806,0.18810803705742057,0.5435160643238192,0.6323729430029682,0.4779561176294931,0.9351358603834674,5
