task,context,mean,std,ci95_low,ci95_high,auprc_C_S,auroc_C_S,auprc_C_S_T,auroc_C_S_T
P0 AS-prone cCRE,strict,0.0002081351781377,0.0007708787501864,-0.0003169229976124,0.0007459696462595,0.1514164320270426,0.5846737942129537,0.1516245672051803,0.5846726060606122
P0 AS-prone cCRE,1hop,-0.0006542214780163,0.0016424095423482,-0.0020924638498011,0.0004657186201169,0.1514164320270426,0.5846737942129537,0.1507622105490263,0.5839523113316615
P1 enhancer tissue macro,strict,0.0008894356560973,0.0017988785105413,-0.0003892907337088,0.0023263077290984,0.5699306686362579,0.6546756046467207,0.5708201042923551,0.6550362419210546
P1 enhancer tissue macro,1hop,0.0008045880459206,0.0027045666910208,-0.0015306733965639,0.0024672772417605,0.5699306686362579,0.6546756046467207,0.5707352566821783,0.6551190509120939
P2 CTCF SNV,strict,0.0014734558678182,0.0026147562861877,9.616917672653142e-05,0.0035491291175644,0.0615594283426937,0.544255942979494,0.0630328842105119,0.5449277416600096
P2 CTCF SNV,1hop,0.0022451334822624,0.0025033277858368,0.0009582977955998,0.0034819643689565,0.0615594283426937,0.544255942979494,0.0638045618249562,0.5487238289163499
P2 H3K27ac SNV,strict,0.0006926596180096,0.0016750789819175,-0.0005666927392716,0.0019195895383077,0.0496801469809004,0.5801210596093983,0.0503728065989101,0.5843309715780601
P2 H3K27ac SNV,1hop,0.0033377871169945,0.0055097296757318,0.0001195252335036,0.0079621744160162,0.0496801469809004,0.5801210596093983,0.053017934097895,0.5940222381132219
