context,stratum,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs,auprc_C_S,auprc_C_S_T,n_test_mean,positive_prevalence_mean
1hop,high,0.00012083296214415266,0.002038047084527502,-0.0013661679886107338,0.0017244924033587425,15,5,0,0.07540748720571076,0.0755283201678549,13077.0,0.05709987703349815
1hop,low,-0.0005897688108653233,0.002092005868860519,-0.0021104223292743854,0.0009365292645612575,15,5,0,0.04976484832652091,0.04917507951565557,6825.4,0.03522896374494251
1hop,medium,0.002372280474513985,0.004018959088502549,-0.00019681030319420277,0.006187387200797706,15,5,0,0.047064971262740195,0.049437251737254176,9480.4,0.03748841551682367
strict,high,0.0003717650370554798,0.0015141792361179488,-0.000918423040594236,0.0014706581009060415,15,5,0,0.07540748720571076,0.07577925224276624,13077.0,0.05709987703349815
strict,low,-0.0007068922728989795,0.0017180399481160962,-0.001999291163993266,0.00030802175826715036,15,5,0,0.04976484832652091,0.04905795605362192,6825.4,0.03522896374494251
strict,medium,0.0011367676265644708,0.00383057470957953,-0.0009409131874070325,0.004803591656843791,15,5,0,0.047064971262740195,0.04820173888930465,9480.4,0.03748841551682367
