context,stratum,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs,auprc_C_S,auprc_C_S_T,n_test_mean,positive_prevalence_mean
1hop,high,0.001809465080109566,0.003404658571914232,-0.00024037019651581057,0.004058286059685614,15,5,0,0.5743589889659142,0.5761684540460236,17590.8,0.4672685419150927
1hop,low,0.0009736390399320579,0.002751011005340708,-0.0009685700089027208,0.0026144324084480357,15,5,0,0.5079694411920141,0.508943080231946,12941.2,0.40339147302543144
1hop,medium,-0.0010657184207427525,0.002825555735236074,-0.002905474209903571,0.0011350753617631918,15,5,0,0.5520464852400514,0.5509807668193087,14977.8,0.43233120074964915
strict,high,0.0021730863270435163,0.002756807196572094,0.00028928344280743703,0.004182232916107619,15,5,0,0.5743589889659142,0.5765320752929576,17590.8,0.4672685419150927
strict,low,-0.0006235089601730396,0.0027834236162758144,-0.0026856933160322857,0.0010142140861866653,15,5,0,0.5079694411920141,0.5073459322318409,12941.2,0.40339147302543144
strict,medium,0.0005638686786441748,0.00487334258490919,-0.0021619140147148166,0.004140219352098555,15,5,0,0.5520464852400514,0.5526103539186955,14977.8,0.43233120074964915
