context,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,Delta_T_given_C_S,0.0006026817500642008,0.005258622501215261,-0.004254470390517428,0.004278515693576953,15,5,0
1hop,Delta_S_given_C_T,0.10196003949955364,0.009438991869727745,0.09480446143956074,0.10873062101796628,15,5,0
strict,Delta_T_given_C_S,0.0004924595004557108,0.0028826637213571335,-0.0017820795848722613,0.002690662587405027,15,5,0
strict,Delta_S_given_C_T,0.1002793461812784,0.00756083823561397,0.09543106610098462,0.10548323820770916,15,5,0
