fold,seed,context,feature_set,sample,canonical_sample,in_hprc,unit,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00096,HG00096,False,donor,5808,0.6484159779614325,0.2842584257938669,0.8738601035191411,0.9252863823008944,0.7823691460055097,0.7764030048608043,0.9330855018587361,0.8475639170284611,0.4588777079632987,0.14857692208039727,0.10184073378817997
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00096,HG00096,False,haplotype_1,3922,0.6532381438041815,0.2842584257938669,0.8800691383110623,0.9300844429827073,0.7929627740948496,0.7876397107166337,0.9352068696330992,0.8551034975017845,0.452788231939154,0.14603739943261212,0.10771005928992941
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00096,HG00096,False,haplotype_2,3831,0.6481336465674759,0.2842584257938669,0.887133247925657,0.9325949974599855,0.7916992952231793,0.7826232807782624,0.9395892066049134,0.8539531478770132,0.4423174695544642,0.14127584799832282,0.09891308596296511
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00171,HG00171,False,donor,5964,0.6383299798792756,0.2842584257938669,0.8685527806121486,0.9203105999781984,0.7734741784037559,0.7680052378873854,0.9243498817966903,0.8389557754201931,0.4666635047796969,0.1519474471644994,0.09991386311556961
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00171,HG00171,False,haplotype_1,4034,0.642290530490828,0.2842584257938669,0.8792360035123448,0.9269004972607955,0.7890431333663858,0.7799227799227799,0.9355461211887303,0.8506755571152834,0.4531632307088123,0.14597540088321698,0.09961372089979174
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00171,HG00171,False,haplotype_2,4046,0.6396440929312902,0.2842584257938669,0.8762490379783872,0.9252792213892356,0.7812654473554127,0.7747660535656663,0.9277434312210201,0.8443819236855987,0.45701309745769514,0.1482048018078627,0.1033523415568815
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00268,HG00268,False,donor,5964,0.642186452045607,0.2842584257938669,0.8758967701835996,0.9265868800393409,0.778001341381623,0.7720364741641338,0.9284595300261097,0.8430535798956852,0.4581119908389916,0.14831797967363583,0.10182744117311658
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00268,HG00268,False,haplotype_1,3980,0.6409547738693467,0.2842584257938669,0.8885091234683691,0.9329549766284426,0.7889447236180904,0.7796665576985943,0.9349274794198353,0.8502673796791443,0.4407291894237215,0.14075009093633367,0.09673880146714842
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00268,HG00268,False,haplotype_2,3957,0.650998230983068,0.2842584257938669,0.8832890694923563,0.9325994185246702,0.7892342683851402,0.7840834964122635,0.9332298136645962,0.8521800779865296,0.4505937015069238,0.1447907759425587,0.10675705920156146
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00358,HG00358,False,donor,5906,0.6520487639688453,0.2842584257938669,0.8631671490515624,0.9167630230903204,0.781070098205215,0.7795017482517482,0.9262529213191378,0.846564613741545,0.4731888867591714,0.1543506329281225,0.10919231968576913
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00358,HG00358,False,haplotype_1,4035,0.6500619578686493,0.2842584257938669,0.877206186502275,0.9247159657421116,0.7905824039653035,0.7849358974358974,0.9336637438048037,0.8528643566080446,0.4537164504694693,0.14608177372948924,0.1038774538455696
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00358,HG00358,False,haplotype_2,3980,0.6638190954773869,0.2842584257938669,0.8704330924278274,0.9258456500211076,0.7904522613065327,0.7908622908622909,0.9303557910673732,0.8549565217391304,0.4644437779735404,0.15082194271950058,0.1158105808161887
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00512,HG00512,False,donor,6033,0.6441239847505387,0.2842584257938669,0.8632109077023057,0.9160664757637065,0.7747389358528095,0.7738998482549317,0.9186824498198661,0.8400988351570773,0.474926190753208,0.15520206789107818,0.10807558132386545
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00512,HG00512,False,haplotype_1,4133,0.6445681103314783,0.2842584257938669,0.8707184464927828,0.9201183895196874,0.7839341882409872,0.7792494481236203,0.9275525525525525,0.8469580119965724,0.463663589781838,0.15042642788849583,0.10431408632862327
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00512,HG00512,False,haplotype_2,4071,0.6514369933677229,0.2842584257938669,0.8718884095081084,0.9232419539339745,0.7838368951117661,0.7854381443298969,0.9193061840120663,0.8471160528144545,0.46480123094663867,0.15084331820069757,0.11384710690224159
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00513,HG00513,False,donor,6044,0.635837193911317,0.2842584257938669,0.8682879343160438,0.9179498847120307,0.7718398411647915,0.7652885443583118,0.9247983346344002,0.837516201248969,0.46775688507652413,0.1519324478514988,0.09729433831244916
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00513,HG00513,False,haplotype_1,4194,0.6344778254649499,0.2842584257938669,0.8785361652807715,0.9238948945248149,0.7792083929422985,0.7686590275627129,0.9327320556181886,0.8427843803056028,0.45474783061511653,0.14636029249785415,0.09436134924745387
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00513,HG00513,False,haplotype_2,4094,0.6428920371275036,0.2842584257938669,0.8800296466929176,0.9261198230731358,0.7872496336101612,0.7810405362272582,0.9297112462006079,0.8489158716392021,0.4545549288515263,0.14620725384494038,0.10337780983838663
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00514,HG00514,False,donor,5960,0.6370805369127517,0.2842584257938669,0.8640494825768842,0.914295034401198,0.7733221476510067,0.7662168045276447,0.9270476692125362,0.8389941604099631,0.47205003860848566,0.15360786545967348,0.09714122281883755
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00514,HG00514,False,haplotype_1,4072,0.6397347740667977,0.2842584257938669,0.8772841279747535,0.9234281646595477,0.7838899803536346,0.7733755942947702,0.9366602687140115,0.8472222222222222,0.4554315662232841,0.14649581952557011,0.09533530017178803
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00514,HG00514,False,haplotype_2,4093,0.6445150256535549,0.2842584257938669,0.8764286961120707,0.9244254845885804,0.7869533349621305,0.7819284802043422,0.9283548142532221,0.8488734835355286,0.45767174786465525,0.14776808781252454,0.1043175443548667
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,HG00731,HG00731,False,donor,5824,0.6414835164835165,0.2842584257938669,0.8656234873284271,0.9164037960807817,0.779532967032967,0.775505617977528,0.9237152034261242,0.8431468360615685,0.472507107309436,0.15397406932415525,0.10554368159394582
