context,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,0.04302817986118497,0.005070966654835531,0.03928156472033627,0.047018952386310105,15,5,0
strict,0.036732254259034515,0.003479873406654413,0.03391017020879795,0.03946405084767144,15,5,0
