family,stratum,context,mean_n,mean_prevalence,sufficiently_powered,metric,p_fold_signflip,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs,q_bh
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,auprc,0.0625,0.037685094690974814,0.006592556280391061,0.031658017802089176,0.04238122078098782,15,5,0,0.0625
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,auroc,0.0625,0.056176700272466525,0.00473587305158909,0.05206539072866217,0.05995015532489696,15,5,0,0.0625
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,normalized_ap,0.0625,0.09975753864964564,0.017248936176557327,0.08440076001986181,0.1124328507999707,15,5,0,0.0625
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,balanced_accuracy,0.0625,0.06946623111313956,0.009023971252249288,0.062073882021458415,0.07615490348905568,15,5,0,0.0625
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,f1,0.0625,0.025367642389497742,0.003035902481983802,0.02272057250937768,0.027495860770205396,15,5,0,0.0625
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,precision,0.0625,0.04489495454158951,0.007275891678906766,0.03892174161800147,0.050271931349294446,15,5,0,0.0625
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,recall,0.1875,-0.011396078847976842,0.016027721374843044,-0.02231499261679192,0.002965197124035056,15,5,0,0.375
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,auprc,0.0625,0.03332018900429411,0.0032151830304998834,0.030726422420432012,0.03579564786177207,15,5,0,0.0625
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,auroc,0.0625,0.04594161776048262,0.004802951938354179,0.041540741325818545,0.04949505769413717,15,5,0,0.0625
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,normalized_ap,0.0625,0.08823114508585243,0.008390485795522654,0.08186482847673845,0.09523765312961208,15,5,0,0.0625
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,balanced_accuracy,0.0625,0.05594975315412563,0.009670265597503357,0.048121208834535995,0.06354233968653437,15,5,0,0.0625
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,f1,0.0625,0.019849423219060483,0.0024747510879886657,0.017928712293210358,0.02157445930893483,15,5,0,0.0625
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,precision,0.0625,0.0358514767064227,0.007736015812141099,0.029680544908470753,0.041809811976350225,15,5,0,0.0625
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,recall,0.1875,-0.010574288470816902,0.01580499568364503,-0.02262157524651485,0.0016815549800913625,15,5,0,0.5
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,auprc,0.0625,0.03694768101650227,0.004803536304721521,0.033804281735760146,0.040520778921864044,15,5,0,0.0625
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,auroc,0.0625,0.06261938815649132,0.0050373901962633754,0.05917454152596207,0.06655020486912117,15,5,0,0.0625
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,normalized_ap,0.0625,0.10679116589793783,0.012422120077692316,0.09886677819047324,0.11568669504624703,15,5,0,0.0625
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,balanced_accuracy,0.0625,0.08500193030407929,0.010742230734639964,0.07610343353961825,0.09264261218383972,15,5,0,0.0625
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,f1,0.0625,0.032836994747002704,0.003802647230718097,0.029870424547417517,0.036019059234267396,15,5,0,0.0625
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,precision,0.0625,0.05380781822957215,0.008689910186052982,0.04658614556835578,0.05969687472457862,15,5,0,0.0625
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,recall,0.9375,-0.0012184425873801087,0.020724716788647207,-0.016309942338766276,0.016894725228143545,15,5,0,0.9375
allele_frequency,"af[0.01,0.05)",strict,12040.4,0.6544000370858504,True,auprc,0.0625,0.032089657792066247,0.0022487154812223147,0.030617455039874814,0.03395330807978763,15,5,0,0.0625
allele_frequency,"af[0.01,0.05)",strict,12040.4,0.6544000370858504,True,auroc,0.0625,0.05040808091850025,0.0034892961013824066,0.04758573886589944,0.05311405554981224,15,5,0,0.0625
allele_frequency,"af[0.01,0.05)",strict,12040.4,0.6544000370858504,True,normalized_ap,0.0625,0.0928354025881286,0.005591933675520455,0.08903832105459222,0.09710852591520382,15,5,0,0.0625
allele_frequency,"af[0.01,0.05)",strict,12040.4,0.6544000370858504,True,balanced_accuracy,0.0625,0.06955370310297192,0.008196857151761555,0.06320299853518607,0.07540593575691926,15,5,0,0.0625
allele_frequency,"af[0.01,0.05)",strict,12040.4,0.6544000370858504,True,f1,0.0625,0.025738411277235973,0.0031652085161037596,0.023323049020213975,0.02835530625412768,15,5,0,0.0625
allele_frequency,"af[0.01,0.05)",strict,12040.4,0.6544000370858504,True,precision,0.0625,0.043916965113085696,0.007334389661172447,0.038306621569105734,0.04937616423333366,15,5,0,0.0625
allele_frequency,"af[0.01,0.05)",strict,12040.4,0.6544000370858504,True,recall,0.5625,-0.003963043258044744,0.018749767331637468,-0.018299078059028397,0.011684901965880118,15,5,0,0.75
allele_frequency,"af[0.05,0.5)",1hop,12085.6,0.6332492970360772,True,auprc,0.0625,0.0422483832993544,0.006019796611268064,0.038094778686992355,0.04643468244216222,15,5,0,0.0625
allele_frequency,"af[0.05,0.5)",1hop,12085.6,0.6332492970360772,True,auroc,0.0625,0.06510727901951244,0.005550940533471034,0.06141209626746222,0.06912234823612955,15,5,0,0.0625
allele_frequency,"af[0.05,0.5)",1hop,12085.6,0.6332492970360772,True,normalized_ap,0.0625,0.11512871231118081,0.014990113348241898,0.10516579050051551,0.12508640043280764,15,5,0,0.0625
allele_frequency,"af[0.05,0.5)",1hop,12085.6,0.6332492970360772,True,balanced_accuracy,0.0625,0.08856581319880609,0.013596569591279823,0.07801953633634781,0.0987061701458226,15,5,0,0.0625
allele_frequency,"af[0.05,0.5)",1hop,12085.6,0.6332492970360772,True,f1,0.0625,0.03924045934809513,0.0033121658343193143,0.03692155690668676,0.041639662972954974,15,5,0,0.0625
allele_frequency,"af[0.05,0.5)",1hop,12085.6,0.6332492970360772,True,precision,0.0625,0.06030223344553058,0.011370387588740092,0.05146303118412124,0.06869919686905294,15,5,0,0.0625
allele_frequency,"af[0.05,0.5)",1hop,12085.6,0.6332492970360772,True,recall,0.75,0.004280470985707356,0.018336434679957006,-0.009588641760175017,0.020371074122142882,15,5,0,0.9375
allele_frequency,"af[0.05,0.5)",strict,12085.6,0.6332492970360772,True,auprc,0.0625,0.03426795810630973,0.002927946830465132,0.03214102756321982,0.03661785522140145,15,5,0,0.0625
allele_frequency,"af[0.05,0.5)",strict,12085.6,0.6332492970360772,True,auroc,0.0625,0.050250156670192135,0.0031422243658917937,0.048181762690512435,0.05283994202513543,15,5,0,0.0625
allele_frequency,"af[0.05,0.5)",strict,12085.6,0.6332492970360772,True,normalized_ap,0.0625,0.09338560809159872,0.0062345869514151995,0.08887748024755729,0.09793312701500526,15,5,0,0.0625
allele_frequency,"af[0.05,0.5)",strict,12085.6,0.6332492970360772,True,balanced_accuracy,0.0625,0.071412827857773,0.011078138579015094,0.06327698733706535,0.08011511475953381,15,5,0,0.0625
allele_frequency,"af[0.05,0.5)",strict,12085.6,0.6332492970360772,True,f1,0.0625,0.030468342134950997,0.002740477967333777,0.028509518722500325,0.032403910367877514,15,5,0,0.0625
allele_frequency,"af[0.05,0.5)",strict,12085.6,0.6332492970360772,True,precision,0.0625,0.04852489387732092,0.010006059633916051,0.04116489847442911,0.056502556224429686,15,5,0,0.0625
allele_frequency,"af[0.05,0.5)",strict,12085.6,0.6332492970360772,True,recall,1.0,0.00013417419954738405,0.018255307397985684,-0.014200785143532922,0.015792706629574476,15,5,0,1.0
allele_frequency,"af[0.5,1)",1hop,1870.6,0.6035869789796074,True,auprc,0.0625,0.04206677536156384,0.011168975479287904,0.03363732314671825,0.05118112311980175,15,5,0,0.0625
allele_frequency,"af[0.5,1)",1hop,1870.6,0.6035869789796074,True,auroc,0.0625,0.04913293163039168,0.008511897933824467,0.042919794858327,0.05636203371763713,15,5,0,0.0625
allele_frequency,"af[0.5,1)",1hop,1870.6,0.6035869789796074,True,normalized_ap,0.0625,0.10529036235983597,0.023970781966718563,0.08758555675270932,0.12463690784654743,15,5,0,0.0625
allele_frequency,"af[0.5,1)",1hop,1870.6,0.6035869789796074,True,balanced_accuracy,0.0625,0.08576966437820709,0.019214568048989782,0.06941814936733617,0.10120086812708308,15,5,0,0.0625
allele_frequency,"af[0.5,1)",1hop,1870.6,0.6035869789796074,True,f1,0.0625,0.046437272242405396,0.010289829330720687,0.03763855576508537,0.05479070283094165,15,5,0,0.0625
allele_frequency,"af[0.5,1)",1hop,1870.6,0.6035869789796074,True,precision,0.0625,0.0739241648644373,0.01815489025686324,0.05807979189314728,0.0878588919282463,15,5,0,0.0625
allele_frequency,"af[0.5,1)",1hop,1870.6,0.6035869789796074,True,recall,0.1875,0.005136787317975666,0.007609367059091798,-0.0007955493582284736,0.010630907451320892,15,5,0,0.375
allele_frequency,"af[0.5,1)",strict,1870.6,0.6035869789796074,True,auprc,0.0625,0.038209468398167294,0.00916944858272925,0.031240943063649163,0.046236471630295914,15,5,0,0.0625
allele_frequency,"af[0.5,1)",strict,1870.6,0.6035869789796074,True,auroc,0.0625,0.04263393653607792,0.005703580797063715,0.038604092058893764,0.0478677542335671,15,5,0,0.0625
allele_frequency,"af[0.5,1)",strict,1870.6,0.6035869789796074,True,normalized_ap,0.0625,0.09571998244594795,0.01910689285994909,0.0811351815994957,0.11236432172927455,15,5,0,0.0625
allele_frequency,"af[0.5,1)",strict,1870.6,0.6035869789796074,True,balanced_accuracy,0.0625,0.06339215583263894,0.020910939385081224,0.04865295132211085,0.0820775467059987,15,5,0,0.0625
allele_frequency,"af[0.5,1)",strict,1870.6,0.6035869789796074,True,f1,0.0625,0.03460322035908114,0.009955860980673206,0.027583708298191345,0.04347291988632005,15,5,0,0.0625
allele_frequency,"af[0.5,1)",strict,1870.6,0.6035869789796074,True,precision,0.0625,0.05248496637525839,0.019698228244712825,0.03822470410710349,0.06990486570504166,15,5,0,0.0625
allele_frequency,"af[0.5,1)",strict,1870.6,0.6035869789796074,True,recall,0.25,0.0068323326049784345,0.008374757078049681,0.0008221643130703932,0.013531940358742563,15,5,0,0.5
carrier_frequency,AC_gt1,1hop,25372.4,0.6412756782134217,True,auprc,0.0625,0.04000108725670496,0.004666510458606833,0.036753174153377574,0.043488365180773016,15,5,0,0.0625
carrier_frequency,AC_gt1,1hop,25372.4,0.6412756782134217,True,auroc,0.0625,0.06316435854313622,0.0038904348640090613,0.06064586259674198,0.06598921523540756,15,5,0,0.0625
carrier_frequency,AC_gt1,1hop,25372.4,0.6412756782134217,True,normalized_ap,0.0625,0.11138678542447357,0.01115340415430526,0.10389455651885166,0.11912264863259947,15,5,0,0.0625
carrier_frequency,AC_gt1,1hop,25372.4,0.6412756782134217,True,balanced_accuracy,0.0625,0.08772778802316118,0.012163115284628847,0.07764445238245739,0.09668372388828111,15,5,0,0.0625
carrier_frequency,AC_gt1,1hop,25372.4,0.6412756782134217,True,f1,0.0625,0.03716398325407595,0.0020952237875570706,0.03560794670247586,0.038663994566183905,15,5,0,0.0625
carrier_frequency,AC_gt1,1hop,25372.4,0.6412756782134217,True,precision,0.0625,0.05900509413345168,0.010325711358244012,0.0504707973804272,0.06632220831704849,15,5,0,0.0625
carrier_frequency,AC_gt1,1hop,25372.4,0.6412756782134217,True,recall,0.875,0.0017648388737253977,0.017945102228387168,-0.011571787470367238,0.017270343616253243,15,5,0,0.875
carrier_frequency,AC_gt1,strict,25372.4,0.6412756782134217,True,auprc,0.0625,0.033564548429115826,0.0023323721260892086,0.031884613735017414,0.035460041007676205,15,5,0,0.0625
carrier_frequency,AC_gt1,strict,25372.4,0.6412756782134217,True,auroc,0.0625,0.049935261098534384,0.002275613170740822,0.048267082524704595,0.051671772945734926,15,5,0,0.0625
carrier_frequency,AC_gt1,strict,25372.4,0.6412756782134217,True,normalized_ap,0.0625,0.09352033955590597,0.004897373868357876,0.09007827579934988,0.09713736533530365,15,5,0,0.0625
carrier_frequency,AC_gt1,strict,25372.4,0.6412756782134217,True,balanced_accuracy,0.0625,0.07060905265838666,0.010429402875797335,0.06275352547767904,0.07854983975866797,15,5,0,0.0625
carrier_frequency,AC_gt1,strict,25372.4,0.6412756782134217,True,f1,0.0625,0.028915627846415083,0.001891536569435191,0.027566016489230422,0.03027740806361017,15,5,0,0.0625
carrier_frequency,AC_gt1,strict,25372.4,0.6412756782134217,True,precision,0.0625,0.047276849478214526,0.009363765203818495,0.04024775181451169,0.054529258834378085,15,5,0,0.0625
carrier_frequency,AC_gt1,strict,25372.4,0.6412756782134217,True,recall,0.6875,-0.0011582038674500176,0.01710697687473754,-0.014546973549007048,0.013201110124992317,15,5,0,0.6875
carrier_frequency,singleton_AC1,1hop,9408.6,0.6220111254996018,True,auprc,0.0625,0.037524809689161796,0.007205585945446277,0.031234708822783504,0.04268098162238671,15,5,0,0.0625
carrier_frequency,singleton_AC1,1hop,9408.6,0.6220111254996018,True,auroc,0.0625,0.05581102665389778,0.004939133162971787,0.05139862929114566,0.05896385981094903,15,5,0,0.0625
carrier_frequency,singleton_AC1,1hop,9408.6,0.6220111254996018,True,normalized_ap,0.0625,0.09918725269162118,0.018268722838907885,0.08338084090382242,0.11207186905928314,15,5,0,0.0625
carrier_frequency,singleton_AC1,1hop,9408.6,0.6220111254996018,True,balanced_accuracy,0.0625,0.0674189140388104,0.007695671085112292,0.06131281066060761,0.07306152761809594,15,5,0,0.0625
carrier_frequency,singleton_AC1,1hop,9408.6,0.6220111254996018,True,f1,0.0625,0.02470751071587522,0.0033897842639967167,0.021899925122822267,0.027409541241525785,15,5,0,0.0625
carrier_frequency,singleton_AC1,1hop,9408.6,0.6220111254996018,True,precision,0.0625,0.04327462035132749,0.006532766144177864,0.03805060500050864,0.048118341781904696,15,5,0,0.0625
carrier_frequency,singleton_AC1,1hop,9408.6,0.6220111254996018,True,recall,0.25,-0.010682401893015598,0.01762343870216712,-0.022431810272573773,0.005353640102710578,15,5,0,0.5
carrier_frequency,singleton_AC1,strict,9408.6,0.6220111254996018,True,auprc,0.0625,0.03364629658126747,0.003755325039119533,0.03045689553691489,0.03650505253417278,15,5,0,0.0625
carrier_frequency,singleton_AC1,strict,9408.6,0.6220111254996018,True,auroc,0.0625,0.04576561732582481,0.005237153341300267,0.04083095662099797,0.049143095978266604,15,5,0,0.0625
