family,stratum,context,mean_n,mean_prevalence,sufficiently_powered,metric,feature_set,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,auprc,coordinate,0.8134488681143262,0.011162449661916764,0.8045670605279772,0.8229096134235442,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,auprc,coordinate_plus_frozen_pangenomefm,0.8690432774503569,0.012693373806881632,0.8584324011927659,0.8796221512023664,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,auprc,coordinate_plus_frozen_sequence_fm,0.8315160149142743,0.011265606240798101,0.8214460576402666,0.8401169781216652,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.869201109605249,0.012758835480834308,0.8584487474069848,0.8797096839959023,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,auprc,frozen_pangenomefm,0.8673750203690137,0.01264935761883113,0.856801156631406,0.8779140651525865,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,auprc,frozen_sequence_fm,0.8297990119380346,0.011103401217209697,0.819888758213285,0.838386657287497,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,auprc,sequence_kmer,0.7547449445420753,0.010608507909095306,0.7448292170035619,0.7626034700391977,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,auroc,coordinate,0.7257444341890835,0.006750458492304827,0.7202970009306264,0.7313332067610357,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,auroc,coordinate_plus_frozen_pangenomefm,0.8062510192614283,0.00837842739693825,0.7991830396384676,0.8130858733333736,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,auroc,coordinate_plus_frozen_sequence_fm,0.7492560174701333,0.006049273068336448,0.743761169701424,0.7537006075655829,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.8054327177425998,0.008854192527207342,0.798136002622445,0.8127288212707122,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,auroc,frozen_pangenomefm,0.8047087389541842,0.008304744319584228,0.7977277929038814,0.8115238169312198,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,auroc,frozen_sequence_fm,0.7473120034905694,0.005584385084728883,0.742215824880733,0.7514395473345258,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,auroc,sequence_kmer,0.6449702239420765,0.004938136701204896,0.6409957595714088,0.6489446883127443,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,normalized_ap,coordinate,0.5064840635240929,0.015752802478164782,0.4931227470291822,0.5198453800190037,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,normalized_ap,coordinate_plus_frozen_pangenomefm,0.6536876375246291,0.02696621784319324,0.6301669834690902,0.675211727082538,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,normalized_ap,coordinate_plus_frozen_sequence_fm,0.5543797312577093,0.01621958102623122,0.5397714628589387,0.5662929241078324,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,normalized_ap,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.654137269907355,0.02660276867572093,0.631887047363535,0.6757353235908733,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,normalized_ap,frozen_pangenomefm,0.649284302530687,0.026461342786382375,0.626610683087479,0.6704615045364877,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,normalized_ap,frozen_sequence_fm,0.5498165481841831,0.015751871836217887,0.5358683481030282,0.5614537423025461,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,normalized_ap,sequence_kmer,0.35085856817108085,0.012282899299522133,0.34073017254570126,0.3613237896334979,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,balanced_accuracy,coordinate,0.5942228590137976,0.008705534163526877,0.5868844181153425,0.6015612999122529,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,balanced_accuracy,coordinate_plus_frozen_pangenomefm,0.669888273633878,0.005691058423143871,0.665916738505777,0.6740020879421328,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,balanced_accuracy,coordinate_plus_frozen_sequence_fm,0.594948671338831,0.010660866573596765,0.5871590768252761,0.6046647647921053,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,balanced_accuracy,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6644149024519707,0.006001362453088098,0.6601951874260217,0.6686844366991842,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,balanced_accuracy,frozen_pangenomefm,0.6700107292360492,0.00731955724410433,0.664586031437522,0.6750624244007507,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,balanced_accuracy,frozen_sequence_fm,0.5868838455121264,0.00902875559732511,0.5796836298456206,0.5944172574895378,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,balanced_accuracy,sequence_kmer,0.515325316452858,0.007332809273594364,0.5092504002643974,0.5214002326413184,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,f1,coordinate,0.777302421126959,0.009175348580548196,0.769780999702254,0.7848238425516639,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,f1,coordinate_plus_frozen_pangenomefm,0.8095162977546893,0.008203357479351631,0.8026004952465184,0.8162306833019889,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,f1,coordinate_plus_frozen_sequence_fm,0.7832870758729154,0.009015971978195998,0.7753383739251003,0.7904000572566113,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,f1,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.8086547182624133,0.00885310102130689,0.8015047901737228,0.8160430428654133,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,f1,frozen_pangenomefm,0.8088551308001295,0.008091979088793763,0.8021749591175195,0.8154800910690388,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,f1,frozen_sequence_fm,0.7832044817302743,0.00906734820177973,0.7755476414841377,0.7902152457252491,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,f1,sequence_kmer,0.7647521014153242,0.010042714823294725,0.7566525384187661,0.7728516644118822,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,precision,coordinate,0.674584807634479,0.01652900429226376,0.6607465180907047,0.6884230971782533,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,precision,coordinate_plus_frozen_pangenomefm,0.723160794304445,0.012707493219996344,0.712637960945305,0.7332448474640207,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,precision,coordinate_plus_frozen_sequence_fm,0.6739532421117777,0.01746287411060678,0.6595921820572017,0.6885017245543462,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,precision,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.7188481966533671,0.011783619886876158,0.7093080965143609,0.7283026899993131,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,precision,frozen_pangenomefm,0.723731517929708,0.01087287552477659,0.7149221246198302,0.732138331737903,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,precision,frozen_sequence_fm,0.6686892631224218,0.01619758566731774,0.6551283831065521,0.6822501431382914,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,precision,sequence_kmer,0.6298395518105865,0.010192504064205282,0.6204959352371068,0.6376645296519544,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,recall,coordinate,0.917439664231807,0.009746584722927673,0.9081601645635445,0.9249034701095079,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,recall,coordinate_plus_frozen_pangenomefm,0.919483688131918,0.007238922247640012,0.9150977971124765,0.9243029274901363,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,recall,coordinate_plus_frozen_sequence_fm,0.9356173670020649,0.010742962380040359,0.9252957416776231,0.9431349190586903,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,recall,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.924221288154088,0.0074018214755869945,0.9198458136082908,0.929257408445275,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,recall,frozen_pangenomefm,0.9168809731057711,0.012440590892106753,0.9090375514265214,0.9244407442359435,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,recall,frozen_sequence_fm,0.9456227154220915,0.011455011090446119,0.9355147425862209,0.9548164372812595,15,5,0
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,True,recall,sequence_kmer,0.9733444803801526,0.012886465040227469,0.9649372514539453,0.9859004281047596,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,auprc,coordinate,0.8134488681143262,0.011162449661916764,0.8045670605279772,0.8229096134235442,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,auprc,coordinate_plus_frozen_pangenomefm,0.8657602197058016,0.011300352833035418,0.8564612486810504,0.8748834762712272,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,auprc,coordinate_plus_frozen_sequence_fm,0.8315160149142743,0.011265606240798101,0.8214460576402666,0.8401169781216652,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.8648362039185682,0.011049207621617015,0.8554774347878873,0.8735586064757578,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,auprc,frozen_pangenomefm,0.8640385272857622,0.011725078952997812,0.8544523278603461,0.8735334065532432,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,auprc,frozen_sequence_fm,0.8297990119380346,0.011103401217209697,0.819888758213285,0.838386657287497,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,auprc,sequence_kmer,0.7547449445420753,0.010608507909095306,0.7448292170035619,0.7626034700391977,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,auroc,coordinate,0.7257444341890835,0.006750458492304827,0.7202970009306264,0.7313332067610357,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,auroc,coordinate_plus_frozen_pangenomefm,0.7962536888117879,0.009398434783345337,0.7882824927724027,0.8041899630336404,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,auroc,coordinate_plus_frozen_sequence_fm,0.7492560174701333,0.006049273068336448,0.743761169701424,0.7537006075655829,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.7951976352306158,0.009018475520448993,0.7876641343181834,0.8027464635983721,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,auroc,frozen_pangenomefm,0.7944191684944979,0.009390490266811637,0.7865233462394676,0.8023543849662587,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,auroc,frozen_sequence_fm,0.7473120034905694,0.005584385084728883,0.742215824880733,0.7514395473345258,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,auroc,sequence_kmer,0.6449702239420765,0.004938136701204896,0.6409957595714088,0.6489446883127443,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,normalized_ap,coordinate,0.5064840635240929,0.015752802478164782,0.4931227470291822,0.5198453800190037,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,normalized_ap,coordinate_plus_frozen_pangenomefm,0.6450795385172179,0.02017898814251037,0.6282265154026315,0.6617468721488832,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,normalized_ap,coordinate_plus_frozen_sequence_fm,0.5543797312577093,0.01621958102623122,0.5397714628589387,0.5662929241078324,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,normalized_ap,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6426108763435618,0.019353184127564437,0.626016332635485,0.6581197156456037,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,normalized_ap,frozen_pangenomefm,0.6405574221713671,0.020976529281279375,0.6231991173998304,0.657885734708274,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,normalized_ap,frozen_sequence_fm,0.5498165481841831,0.015751871836217887,0.5358683481030282,0.5614537423025461,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,normalized_ap,sequence_kmer,0.35085856817108085,0.012282899299522133,0.34073017254570126,0.3613237896334979,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,balanced_accuracy,coordinate,0.5942228590137976,0.008705534163526877,0.5868844181153425,0.6015612999122529,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,balanced_accuracy,coordinate_plus_frozen_pangenomefm,0.6548559853379865,0.005552533678894793,0.6513504001487689,0.6586103643047363,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,balanced_accuracy,coordinate_plus_frozen_sequence_fm,0.594948671338831,0.010660866573596765,0.5871590768252761,0.6046647647921053,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,balanced_accuracy,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6508984244929567,0.010551046691271292,0.6416813772100898,0.6586099261270671,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,balanced_accuracy,frozen_pangenomefm,0.6543597767373851,0.007499771719258005,0.6492752953677455,0.6589932509970676,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,balanced_accuracy,frozen_sequence_fm,0.5868838455121264,0.00902875559732511,0.5796836298456206,0.5944172574895378,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,balanced_accuracy,sequence_kmer,0.515325316452858,0.007332809273594364,0.5092504002643974,0.5214002326413184,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,f1,coordinate,0.777302421126959,0.009175348580548196,0.769780999702254,0.7848238425516639,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,f1,coordinate_plus_frozen_pangenomefm,0.804536484060458,0.00976590890909405,0.796447008981393,0.812418390422462,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,f1,coordinate_plus_frozen_sequence_fm,0.7832870758729154,0.009015971978195998,0.7753383739251003,0.7904000572566113,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,f1,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.8031364990919762,0.009871154324916273,0.7950165900923694,0.8109304035181053,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,f1,frozen_pangenomefm,0.8034059080572237,0.010231818110391968,0.7949990068914231,0.8116047139123055,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,f1,frozen_sequence_fm,0.7832044817302743,0.00906734820177973,0.7755476414841377,0.7902152457252491,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,f1,sequence_kmer,0.7647521014153242,0.010042714823294725,0.7566525384187661,0.7728516644118822,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,precision,coordinate,0.674584807634479,0.01652900429226376,0.6607465180907047,0.6884230971782533,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,precision,coordinate_plus_frozen_pangenomefm,0.7124480101281763,0.011683917370477631,0.7030831090518395,0.7219334178287089,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,precision,coordinate_plus_frozen_sequence_fm,0.6739532421117777,0.01746287411060678,0.6595921820572017,0.6885017245543462,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,precision,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.7098047188182003,0.014265090967154453,0.6983226679186313,0.7214893454379413,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,precision,frozen_pangenomefm,0.7124921235243832,0.012089129146176675,0.7023846182786803,0.72126682426139,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,precision,frozen_sequence_fm,0.6686892631224218,0.01619758566731774,0.6551283831065521,0.6822501431382914,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,precision,sequence_kmer,0.6298395518105865,0.010192504064205282,0.6204959352371068,0.6376645296519544,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,recall,coordinate,0.917439664231807,0.009746584722927673,0.9081601645635445,0.9249034701095079,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,recall,coordinate_plus_frozen_pangenomefm,0.9241314512077012,0.012461421375962614,0.9142751302829987,0.9329273135827699,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,recall,coordinate_plus_frozen_sequence_fm,0.9356173670020649,0.010742962380040359,0.9252957416776231,0.9431349190586903,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,recall,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.925043078531248,0.012760334016885283,0.9155696380910612,0.9343000969096096,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,recall,frozen_pangenomefm,0.9210725307746315,0.012323717076788877,0.912439245182836,0.9290932543242887,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,recall,frozen_sequence_fm,0.9456227154220915,0.011455011090446119,0.9355147425862209,0.9548164372812595,15,5,0
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,True,recall,sequence_kmer,0.9733444803801526,0.012886465040227469,0.9649372514539453,0.9859004281047596,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,auprc,coordinate,0.8589524040812471,0.02614319495094009,0.8346064475818202,0.8759760870139371,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,auprc,coordinate_plus_frozen_pangenomefm,0.9155048617153735,0.009256076513523198,0.9081502581287033,0.9215486367132393,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,auprc,coordinate_plus_frozen_sequence_fm,0.8768811454120155,0.008826514563377751,0.8694544404862451,0.8843078503377856,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9138288264285177,0.006322207875427869,0.9088060167339903,0.9184303416944344,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,auprc,frozen_pangenomefm,0.91380676226277,0.01038749709765959,0.905377528831622,0.9202933644671918,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,auprc,frozen_sequence_fm,0.876856900471233,0.006372105016356737,0.8715916787878745,0.8821221221545916,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,auprc,sequence_kmer,0.800412800375081,0.011354023778502637,0.7913080334279378,0.8095175673222245,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,auroc,coordinate,0.7761560774381304,0.011064400064198307,0.7663123920584226,0.7843566932318949,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,auroc,coordinate_plus_frozen_pangenomefm,0.8571507353407456,0.006443396903302459,0.85231800923845,0.8618576700933196,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,auroc,coordinate_plus_frozen_sequence_fm,0.7900288457909252,0.006038193815085237,0.7848417094075725,0.7947709906838133,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.8526482339474165,0.004777192319309874,0.8489949240694996,0.855803543219209,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,auroc,frozen_pangenomefm,0.8550831632949738,0.006731562952270472,0.8498756260148256,0.8599905578058739,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,auroc,frozen_sequence_fm,0.7890240869810244,0.003552031049435429,0.7860549592956919,0.791993214666357,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,auroc,sequence_kmer,0.6808304270648282,0.008066453057181934,0.6735423166571304,0.6868890056437351,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,normalized_ap,coordinate,0.5927851050354049,0.06861015433378481,0.5274253167898965,0.6331188943153314,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,normalized_ap,coordinate_plus_frozen_pangenomefm,0.7558076432935378,0.022522722780655865,0.7379416413374589,0.7676988642375936,15,5,0
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,True,normalized_ap,coordinate_plus_frozen_sequence_fm,0.6440571858449089,0.017901232195957396,0.6293613247737522,0.6582213607613563,15,5,0
