task,context,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs,auprc_C,auprc_C_S,auprc_C_S_T,positive_prevalence_mean
primary,1hop,Delta_T_given_C_S,-0.0006542214780163,0.0016424095423482,-0.0020924638498011,0.0004657186201169,15,5,0,0.13280461493751966,0.15141643202704264,0.1507622105490263,0.11139223880005088
primary,strict,Delta_T_given_C_S,0.0002081351781377,0.0007708787501864,-0.0003169229976124,0.0007459696462595,15,5,0,0.13280461493751966,0.15141643202704264,0.1516245672051803,0.11139223880005088
exposure_matched,1hop,Delta_T_given_C_S,0.0020018619066696,0.0016188643271557,0.0008437504420377,0.003277595286482,15,5,0,0.5370147600930854,0.5336165902088779,0.5356184521155476,0.5
exposure_matched,strict,Delta_T_given_C_S,0.0014821602246304,0.0021003957879044,9.845692118466037e-05,0.0029247419023117,15,5,0,0.5370147600930854,0.5336165902088779,0.5350987504335084,0.5
h3k27ac,1hop,Delta_T_given_C_S,0.0006116002974028,0.0014241499832681,-0.0005328400979531,0.0016887635279243,15,5,0,0.0639062740714567,0.0623262322368386,0.06293783253424141,0.0456626513224852
h3k27ac,strict,Delta_T_given_C_S,0.0005836185949698,0.0006620934326391,8.361006272666221e-05,0.0010653265485498,15,5,0,0.0639062740714567,0.0623262322368386,0.06290985083180843,0.0456626513224852
ctcf,1hop,Delta_T_given_C_S,0.0007251954623335,0.0008075349922904,0.0002168733471502,0.0013013542509576,15,5,0,0.07682125220348458,0.07809370987043117,0.07881890533276477,0.065019792023393
ctcf,strict,Delta_T_given_C_S,0.0002605803091397,0.0008881190361145,-0.000369700100038,0.0009518748374383,15,5,0,0.07682125220348458,0.07809370987043117,0.07835429017957088,0.065019792023393
