context,stratum,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs,auprc_C_S,auprc_C_S_T,n_test_mean,positive_prevalence_mean
1hop,high,0.0035241851873961303,0.007706328630556613,-0.003294820239956341,0.008846592569483617,15,5,0,0.5978691563382034,0.6013933415255994,18579.2,0.45543499886807426
1hop,low,0.00039952693269467153,0.004154009702735317,-0.0022068869861868417,0.002925788192201866,15,5,0,0.5328752624376523,0.5332747893703469,12888.2,0.3965757253237082
1hop,medium,-0.0004369433303896756,0.0061070579022370515,-0.004213411930475804,0.003727000898019312,15,5,0,0.5920468507356593,0.5916099074052695,15233.4,0.4295747561310196
strict,high,0.005979379304117701,0.002986998068173187,0.0038985289749853933,0.008419613199047552,15,5,0,0.5978691563382034,0.6038485356423211,18579.2,0.45543499886807426
strict,low,-0.00039295492300088774,0.003808498285350291,-0.0030383052366951538,0.0020514889087340613,15,5,0,0.5328752624376523,0.5324823075146512,12888.2,0.3965757253237082
strict,medium,0.00012311995439552673,0.0050416490634855515,-0.003393325381502581,0.0031389768574340794,15,5,0,0.5920468507356593,0.5921699706900548,15233.4,0.4295747561310196
