context,contrast,p_fold_signflip,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,high_minus_low_topology_gain,0.0625,-0.01623640838652731,0.013620411506892898,-0.02670627558888961,-0.009175178664664045,15,5,0
strict,high_minus_low_topology_gain,0.125,-0.011713241949219707,0.012414779070689006,-0.023001242485852662,-0.0019157674684822993,15,5,0
