family,stratum,context,mean_n,mean_prevalence,minimum_positive,minimum_negative,sufficiently_powered,p_fold_signflip,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs,q_bh
allele_frequency,"af[0.001,0.01)",1hop,8784.4,0.6222665770927546,4554,2731,True,0.0625,0.037685094690974814,0.006592556280391061,0.031658017802089176,0.04238122078098782,15,5,0,0.0625
allele_frequency,"af[0.001,0.01)",strict,8784.4,0.6222665770927546,4554,2731,True,0.0625,0.03332018900429411,0.0032151830304998834,0.030726422420432012,0.03579564786177207,15,5,0,0.0625
allele_frequency,"af[0.01,0.05)",1hop,12040.4,0.6544000370858504,6259,3222,True,0.0625,0.03694768101650227,0.0048035363047215385,0.03380428173576016,0.04052077892186402,15,5,0,0.0625
allele_frequency,"af[0.01,0.05)",strict,12040.4,0.6544000370858504,6259,3222,True,0.0625,0.03208965779206627,0.0022487154812223147,0.030617455039874807,0.033953308079787616,15,5,0,0.0625
allele_frequency,"af[0.05,0.5)",1hop,12085.6,0.6332492970360772,6127,3390,True,0.0625,0.0422483832993544,0.006019796611268085,0.0380947786869923,0.04643468244216224,15,5,0,0.0625
allele_frequency,"af[0.05,0.5)",strict,12085.6,0.6332492970360772,6127,3390,True,0.0625,0.03426795810630974,0.0029279468304651635,0.03214102756321983,0.03661785522140151,15,5,0,0.0625
allele_frequency,"af[0.5,1)",1hop,1870.6,0.6035869789796074,849,573,True,0.0625,0.042066775361563856,0.011168975479287893,0.03363732314671829,0.05118112311980177,15,5,0,0.0625
allele_frequency,"af[0.5,1)",strict,1870.6,0.6035869789796074,849,573,True,0.0625,0.03820946839816728,0.009169448582729254,0.03124094306364912,0.046236471630295935,15,5,0,0.0625
carrier_frequency,AC_gt1,1hop,25372.4,0.6412756782134217,13127,7136,True,0.0625,0.040001087256704954,0.00466651045860685,0.03675317415337754,0.04348836518077304,15,5,0,0.0625
carrier_frequency,AC_gt1,strict,25372.4,0.6412756782134217,13127,7136,True,0.0625,0.033564548429115826,0.0023323721260891874,0.03188461373501742,0.035460041007676184,15,5,0,0.0625
carrier_frequency,singleton_AC1,1hop,9408.6,0.6220111254996018,4665,2780,True,0.0625,0.037524809689161796,0.007205585945446277,0.031234708822783504,0.04268098162238671,15,5,0,0.0625
carrier_frequency,singleton_AC1,strict,9408.6,0.6220111254996018,4665,2780,True,0.0625,0.03364629658126747,0.003755325039119533,0.03045689553691489,0.03650505253417278,15,5,0,0.0625
complexity,high,1hop,20448.6,0.6271788721074114,10604,6130,True,0.0625,0.03362162779540326,0.003684711848970062,0.03041818816691675,0.03634838665549539,15,5,0,0.0625
complexity,high,strict,20448.6,0.6271788721074114,10604,6130,True,0.0625,0.03021248236793396,0.0025068856144086983,0.028211940603009193,0.03217313431399359,15,5,0,0.0625
complexity,low,1hop,6393.6,0.6573434361868639,2102,1066,True,0.0625,0.04985803618193057,0.014770840542876331,0.04180117787086537,0.06159857589794976,15,5,0,0.0625
complexity,low,strict,6393.6,0.6573434361868639,2102,1066,True,0.0625,0.04192572431715367,0.011614741084338824,0.033154855873756654,0.05244438027087364,15,5,0,0.0625
complexity,medium,1hop,7938.8,0.6412686234879751,3596,2071,True,0.0625,0.0473968981150018,0.0044479199286548265,0.04350878227292129,0.05068746925888558,15,5,0,0.0625
complexity,medium,strict,7938.8,0.6412686234879751,3596,2071,True,0.0625,0.03802969660334721,0.0032156391563870606,0.03538965905198969,0.04033613642131524,15,5,0,0.0625
length,bp>=1e+06,1hop,3.6666666666666665,1.0,2,0,False,,,,,,0,0,9,
length,bp>=1e+06,strict,3.6666666666666665,1.0,2,0,False,,,,,,0,0,9,
length,"bp[100,500)",1hop,15500.2,0.6732918005334105,8407,3933,True,0.0625,0.025549129244686754,0.006261825277343095,0.020909139987682353,0.030439135723398958,15,5,0,0.075
length,"bp[100,500)",strict,15500.2,0.6732918005334105,8407,3933,True,0.0625,0.022474318068805288,0.00387555901069084,0.019399262185220884,0.025712688341511025,15,5,0,0.0625
length,"bp[1000,10000)",1hop,3830.4,0.6012375222628602,1888,1144,True,0.0625,0.04402200561031412,0.0097174392888054,0.03521819834933178,0.050827782649233974,15,5,0,0.075
length,"bp[1000,10000)",strict,3830.4,0.6012375222628602,1888,1144,True,0.0625,0.037034704196240775,0.00628190161297155,0.03185623731096589,0.04209306498364529,15,5,0,0.0625
length,"bp[10000,100000)",1hop,568.8,0.6644886188440061,261,137,True,0.0625,0.026069725635916717,0.020843676501505648,0.011153715276518877,0.04427897314673696,15,5,0,0.075
length,"bp[10000,100000)",strict,568.8,0.6644886188440061,261,137,True,0.0625,0.02049519876759173,0.013127546746053922,0.011199137289435834,0.03089000124267257,15,5,0,0.0625
length,"bp[100000,1e+06)",1hop,27.0,0.568742271683448,8,8,False,0.125,-0.06894462721660029,0.06266178087060419,-0.11758786754585242,-0.018140476249565135,15,5,0,0.125
length,"bp[100000,1e+06)",strict,27.0,0.568742271683448,8,8,False,0.0625,-0.07495411930852622,0.07614016778253786,-0.12993269200712365,-0.023760024988034496,15,5,0,0.0625
length,"bp[50,100)",1hop,12369.2,0.5923452931263335,5898,4066,True,0.0625,0.05469919639735248,0.004941058986228045,0.05108309305238724,0.05863770757549888,15,5,0,0.075
length,"bp[50,100)",strict,12369.2,0.5923452931263335,5898,4066,True,0.0625,0.0474860115617745,0.00223153748079399,0.04590351662578951,0.048959379166302046,15,5,0,0.0625
length,"bp[500,1000)",1hop,2483.2,0.6668604225981442,1309,624,True,0.0625,0.015763974180526805,0.005224330948768914,0.012530467907915692,0.019723514060962392,15,5,0,0.075
length,"bp[500,1000)",strict,2483.2,0.6668604225981442,1309,624,True,0.0625,0.015422885979555545,0.004781930069070967,0.011870187511513,0.019683894397179876,15,5,0,0.0625
start_complexity,high,1hop,20448.6,0.6271788721074114,10604,6130,True,0.0625,0.03362162779540326,0.003684711848970062,0.03041818816691675,0.03634838665549539,15,5,0,0.0625
start_complexity,high,strict,20448.6,0.6271788721074114,10604,6130,True,0.0625,0.03021248236793396,0.0025068856144086983,0.028211940603009193,0.03217313431399359,15,5,0,0.0625
start_complexity,low,1hop,6395.0,0.6573985125792741,2102,1066,True,0.0625,0.04980648928566477,0.014678996833474678,0.04180196612939642,0.061456690586902715,15,5,0,0.0625
start_complexity,low,strict,6395.0,0.6573985125792741,2102,1066,True,0.0625,0.04187450204851024,0.01151691052607373,0.03315562946735966,0.05229142961182869,15,5,0,0.0625
start_complexity,medium,1hop,7937.4,0.6412053756598967,3590,2071,True,0.0625,0.04742749382514077,0.004470157570108547,0.043506048764131035,0.05073851492432571,15,5,0,0.0625
start_complexity,medium,strict,7937.4,0.6412053756598967,3590,2071,True,0.0625,0.0380597036093532,0.00321983962870137,0.035414156471746124,0.040347038337555895,15,5,0,0.0625
sv_type,DEL,1hop,12663.8,0.0,0,9916,False,,,,,,0,0,15,
sv_type,DEL,strict,12663.8,0.0,0,9916,False,,,,,,0,0,15,
sv_type,INS,1hop,22117.2,1.0,17792,0,False,,,,,,0,0,15,
