baseline,context,locus_complexity_category,metric,n_regions,region_mean,region_median,n_chromosomes,chromosome_block_mean,ci95_low,ci95_high,chromosome_sign_flip_p_two_sided
coordinate_sgd,1hop,low,auprc_advantage,201,0.1577289610708028,0.1218195059900703,23,0.1674761799663972,0.1386854099884898,0.2000388191082703,9.999000099990002e-05
coordinate_sgd,1hop,low,model_score,201,0.5009686933574529,0.5066705635364677,23,0.4818686292791159,0.4418226696004232,0.5113447792212957,9.999000099990002e-05
coordinate_sgd,1hop,low,auroc_advantage,201,0.1919422064768218,0.1562801932367149,23,0.2036457824396329,0.1735502502123365,0.2359445850032272,9.999000099990002e-05
coordinate_sgd,1hop,medium,auprc_advantage,202,0.1434358325490169,0.1274435443739462,23,0.1559391871547965,0.130243598084061,0.186602081115464,9.999000099990002e-05
coordinate_sgd,1hop,medium,model_score,202,0.4992065538147865,0.4931921302166335,23,0.5023658083723059,0.4934295227986842,0.5121096665873912,9.999000099990002e-05
coordinate_sgd,1hop,medium,auroc_advantage,202,0.177886171059498,0.1563980940004331,23,0.1918034117162087,0.1633371206126339,0.2249545809074306,9.999000099990002e-05
coordinate_sgd,1hop,high,auprc_advantage,203,0.1309484670102988,0.1218023662918057,24,0.1366291223016028,0.1208305916411124,0.1538701233687856,9.999000099990002e-05
coordinate_sgd,1hop,high,model_score,203,0.4790050351891015,0.4791249003394343,24,0.4649438600420737,0.4450984395800719,0.4819849735874027,9.999000099990002e-05
coordinate_sgd,1hop,high,auroc_advantage,203,0.1613382906857872,0.1492319915254238,24,0.1691399487615034,0.1494738159816569,0.1932053551578209,9.999000099990002e-05
coordinate_sgd,strict,low,auprc_advantage,201,0.3200832299243447,0.3173103368740284,23,0.3097918861967878,0.2785454184220178,0.336871443630088,9.999000099990002e-05
coordinate_sgd,strict,low,model_score,201,0.4196334921282545,0.4279920367497163,23,0.4090274158415639,0.3814870279338216,0.4329878723919409,9.999000099990002e-05
coordinate_sgd,strict,low,auroc_advantage,201,0.378410600693162,0.3782894736842104,23,0.3751926417103656,0.3494407438224471,0.4009525210054502,9.999000099990002e-05
coordinate_sgd,strict,medium,auprc_advantage,202,0.2866687205025521,0.2781639116728074,23,0.2971211912036888,0.2765145438544586,0.3183722979087453,9.999000099990002e-05
coordinate_sgd,strict,medium,model_score,202,0.3846833635013932,0.3968672031581128,23,0.3928143894895872,0.3751662136233027,0.4115314526541803,9.999000099990002e-05
coordinate_sgd,strict,medium,auroc_advantage,202,0.3473335034897925,0.3504046918282548,23,0.3553726577319285,0.3381098387523306,0.3728782950425473,9.999000099990002e-05
coordinate_sgd,strict,high,auprc_advantage,203,0.2193172600183866,0.2090141497185585,24,0.2102121695181416,0.1883593748553538,0.2300685738569159,9.999000099990002e-05
coordinate_sgd,strict,high,model_score,203,0.3296461759704278,0.3298896705368184,24,0.3181371400393732,0.2928496902643019,0.3413016701930671,9.999000099990002e-05
coordinate_sgd,strict,high,auroc_advantage,203,0.2761748961253985,0.2749639249639249,24,0.2655894157478127,0.2417408848220813,0.2853129755342075,9.999000099990002e-05
sequence_composition_sgd,1hop,low,auprc_advantage,201,0.3504171818581481,0.3515098611483214,23,0.3590764345452648,0.3467542420323467,0.3720730731123705,9.999000099990002e-05
sequence_composition_sgd,1hop,low,model_score,201,0.5177373639021491,0.5358712252575463,23,0.502008268963544,0.4578354726279886,0.5334940119927764,9.999000099990002e-05
sequence_composition_sgd,1hop,low,auroc_advantage,201,0.3710309806814386,0.373015873015873,23,0.3770333308270314,0.3665239563797335,0.3883690397609214,9.999000099990002e-05
sequence_composition_sgd,1hop,medium,auprc_advantage,202,0.3484919657146478,0.3515654969274434,23,0.3495383816647215,0.3392693079000833,0.3587970899412357,9.999000099990002e-05
sequence_composition_sgd,1hop,medium,model_score,202,0.5192899636296502,0.5261193860470197,23,0.5213657840699026,0.5087610597112514,0.5327491046852577,9.999000099990002e-05
sequence_composition_sgd,1hop,medium,auroc_advantage,202,0.3719835937024842,0.3771901297516892,23,0.3764262285870358,0.3662378537975547,0.3867368384975319,9.999000099990002e-05
sequence_composition_sgd,1hop,high,auprc_advantage,203,0.3532864353057774,0.3532902872520771,24,0.3550222220198915,0.3452208598772915,0.3650289619734159,9.999000099990002e-05
sequence_composition_sgd,1hop,high,model_score,203,0.4735908336035133,0.4821805945772777,24,0.4597393675597415,0.4394458429955601,0.4777239220996946,9.999000099990002e-05
sequence_composition_sgd,1hop,high,auroc_advantage,203,0.3581949308403596,0.3551462621885157,24,0.3599616089301674,0.3502942585532051,0.3694244821137012,9.999000099990002e-05
sequence_composition_sgd,strict,low,auprc_advantage,201,0.2710118562669815,0.2622227758089608,23,0.2607873542672894,0.2375432361854585,0.2803580932145029,9.999000099990002e-05
sequence_composition_sgd,strict,low,model_score,201,0.3852024031805994,0.3888153573095924,23,0.373017182365933,0.3530067551198718,0.391183349475408,9.999000099990002e-05
sequence_composition_sgd,strict,low,auroc_advantage,201,0.2891731155276825,0.2789256198347108,23,0.2848476461379741,0.2633764918337635,0.3052916972252315,9.999000099990002e-05
sequence_composition_sgd,strict,medium,auprc_advantage,202,0.2545203049268252,0.2440975686267021,23,0.2612738620419382,0.2451845546377632,0.2802953982404393,9.999000099990002e-05
sequence_composition_sgd,strict,medium,model_score,202,0.3520034161333222,0.3521065789084387,23,0.3606340676964124,0.3442378771464137,0.3783217441774104,9.999000099990002e-05
sequence_composition_sgd,strict,medium,auroc_advantage,202,0.2838220781632786,0.2778641663776798,23,0.2917840439446821,0.2798662179483597,0.3061239995373144,9.999000099990002e-05
sequence_composition_sgd,strict,high,auprc_advantage,203,0.2502001617489169,0.2503217001291106,24,0.2485420802099545,0.2388201759979652,0.2581202987023273,9.999000099990002e-05
sequence_composition_sgd,strict,high,model_score,203,0.3171946997115133,0.3255329586342687,24,0.3084918532628527,0.2884767227883657,0.3265526006727015,9.999000099990002e-05
sequence_composition_sgd,strict,high,auroc_advantage,203,0.296930628358,0.2972165300546447,24,0.2959540447007867,0.286575129864573,0.3043634437180732,9.999000099990002e-05
topology_degree_sum,1hop,low,auprc_advantage,201,0.0900523906655786,0.0834925460572201,23,0.092194653965746,0.0791534931207536,0.1058948125377742,9.999000099990002e-05
topology_degree_sum,1hop,low,model_score,201,0.2162082785390741,0.2028882038159278,23,0.2417496627035004,0.1831224808778021,0.3036977403213852,9.999000099990002e-05
topology_degree_sum,1hop,low,auroc_advantage,201,0.0774413037355934,0.0747282608695651,23,0.0771523486457265,0.0658523171155026,0.0881763546052721,9.999000099990002e-05
topology_degree_sum,1hop,medium,auprc_advantage,202,0.0898463217143238,0.0873181035712498,23,0.095927619117365,0.0899316177760082,0.1025380091513843,9.999000099990002e-05
topology_degree_sum,1hop,medium,model_score,202,0.2061916463548035,0.1971423796844399,23,0.2222377616937456,0.2013764025630497,0.2433519758863274,9.999000099990002e-05
topology_degree_sum,1hop,medium,auroc_advantage,202,0.0777826377474587,0.0761316064887493,23,0.082112084106039,0.0776605449662825,0.0867331337874679,9.999000099990002e-05
