resource_id	profiles	dataset	release	role	url	relative_path	expected_bytes	checksum_type	checksum	compression	required	notes
hprc_r2_gbz	path-resolution	hprc_r2	HPRC-v2.0	path-rich graph index	https://human-pangenomics.s3.amazonaws.com/pangenomes/freeze/release2/minigraph-cactus/hprc-v2.0-mc-grch38.gbz	raw/hprc/v2.0/hprc-v2.0-mc-grch38.gbz	5419804360	sha256	4bbdb4eb1b2bf3ab32359c21bd94c3d89101967f5d6b9055a2c6492191a4ffe0	binary	true	Official HPRC R2 GBZ already downloaded by analysis-full; reverify before pairing with the full GFA.
hprc_r2_full_gfa	path-resolution	hprc_r2	HPRC-v2.0	full small-variant GFA	https://human-pangenomics.s3.amazonaws.com/pangenomes/freeze/release2/minigraph-cactus/hprc-v2.0-mc-grch38.gfa.gz	raw/hprc/v2.0/hprc-v2.0-mc-grch38.gfa.gz	63140268368			gzip	true	Official full-resolution HPRC R2 graph required because the SV-scale GFA has a different node universe from the GBZ.
hgsvc3_gbz	path-resolution	hgsvc3	2024-02-23	path-rich clipped graph index	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/release/Graph_Genomes/1.0/2024_02_23_minigraph_cactus_hgsvc3/hgsvc3-2024-02-23-mc-chm13.gbz	raw/hgsvc3/2024-02-23/hgsvc3-2024-02-23-mc-chm13.gbz	4108485512	md5	0f831c3827266e1ec183f68253674166	binary	true	Official clipped HGSVC3 GBZ already downloaded by analysis-full; reverify before pairing with the clipped full GFA.
hgsvc3_full_gfa	path-resolution	hgsvc3	2024-02-23	clipped full small-variant GFA	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/release/Graph_Genomes/1.0/2024_02_23_minigraph_cactus_hgsvc3/hgsvc3-2024-02-23-mc-chm13.gfa.gz	raw/hgsvc3/2024-02-23/hgsvc3-2024-02-23-mc-chm13.gfa.gz	14709539504	md5	f072db3bb9f428577f00b30ea12d20a0	gzip	true	Official clipped full HGSVC3 graph required for a GBZ-compatible segment universe.
